event_id,cumulative_total_tokens,reported_last_total_tokens,observed_delta_total_tokens,cumulative_input,reported_last_input,observed_delta_input,cumulative_cached_input,reported_last_cached_input,observed_delta_cached_input,cumulative_cache_write_input,reported_last_cache_write_input,observed_delta_cache_write_input,cumulative_output,reported_last_output,observed_delta_output,cumulative_reasoning_output,reported_last_reasoning_output,observed_delta_reasoning_output
2041,27894224,171167,171167,27651020,170847,170847,26186112,161792,161792,0,0,0,243204,320,320,108325,16,16
2049,28074676,180452,180452,27831085,180065,180065,26356864,170752,170752,0,0,0,243591,387,387,108364,39,39
2056,28255598,180922,180922,28011788,180703,180703,26536832,179968,179968,0,0,0,243810,219,219,108450,86,86
2064,28443116,187518,187518,28198902,187114,187114,26717440,180608,180608,0,0,0,244214,404,404,108549,99,99
2072,28642106,198990,198990,28397643,198741,198741,26904448,187008,187008,0,0,0,244463,249,249,108644,95,95
2086,28850861,208755,208755,28602353,204710,204710,27103104,198656,198656,0,0,0,248508,4045,4045,110054,1410,1410
2094,29059830,208969,208969,28811132,208779,208779,27307648,204544,204544,0,0,0,248698,190,190,110137,83,83
2102,29271697,211867,211867,29021770,210638,210638,27516288,208640,208640,0,0,0,249927,1229,1229,110593,456,456
2111,29271697,211867,0,29021770,210638,0,27516288,208640,0,0,0,0,249927,1229,0,110593,456,0
2118,29486771,215074,215074,29235012,213242,213242,27635456,119168,119168,0,0,0,251759,1832,1832,110593,0,0
2124,29702590,215819,215819,29450471,215459,215459,27848576,213120,213120,0,0,0,252119,360,360,110861,268,268
2138,29920497,217907,217907,29667561,217090,217090,28063872,215296,215296,0,0,0,252936,817,817,111377,516,516
2147,30140224,219727,219727,29886364,218803,218803,28280832,216960,216960,0,0,0,253860,924,924,112151,774,774
2173,30374178,233954,233954,30115450,229086,229086,28499456,218624,218624,0,0,0,258728,4868,4868,116738,4587,4587
2189,30619505,245327,245327,30358461,243011,243011,28728320,228864,228864,0,0,0,261044,2316,2316,118886,2148,2148
2195,30619505,13329,0,30358461,0,0,28728320,0,0,0,0,0,261044,0,0,118886,0,0
2206,30641015,21510,21510,30379654,21193,21193,28740224,11904,11904,0,0,0,261361,317,317,118944,58,58
2217,30663545,22530,22530,30401880,22226,22226,28761216,20992,20992,0,0,0,261665,304,304,119008,64,64
2227,30698521,34976,34976,30436046,34166,34166,28783232,22016,22016,0,0,0,262475,810,810,119367,359,359
2234,30748573,50052,50052,30481097,45051,45051,28816768,33536,33536,0,0,0,267476,5001,5001,119883,516,516
2242,30799092,50519,50519,30531173,50076,50076,28861696,44928,44928,0,0,0,267919,443,443,120076,193,193
2253,30858090,58998,58998,30589860,58687,58687,28911616,49920,49920,0,0,0,268230,311,311,120133,57,57
2261,30929305,71215,71215,30658698,68838,68838,28970112,58496,58496,0,0,0,270607,2377,2377,120649,516,516
2269,31007043,77738,77738,30734515,75817,75817,29038720,68608,68608,0,0,0,272528,1921,1921,120923,274,274
2279,31085941,78898,78898,30813135,78620,78620,29114368,75648,75648,0,0,0,272806,278,278,120939,16,16
2286,31165259,79318,79318,30892303,79168,79168,29192832,78464,78464,0,0,0,272956,150,150,120962,23,23
2298,31256877,91618,91618,30982267,89964,89964,29271808,78976,78976,0,0,0,274610,1654,1654,122435,1473,1473
2307,31357878,101001,101001,31082656,100389,100389,29361536,89728,89728,0,0,0,275222,612,612,122878,443,443
